url,description,price,level,category,rating,seller
https://accountsplace.co.ke/ads/academia_research_premium_with_14_active_subjects1753213045, Academia research premium with 14 active subjects," 280,000",premium,Academic,9.6,douglas
https://accountsplace.co.ke/ads/usa_prolific_available_at_50k_connected_with_paypal_kenyan_cw_at_40k_only1753193349," USA prolific available @50k connected with paypal ., kenyan cw @40k only"," 50,000",New,Transcription,New,transcription accounts dealer
https://accountsplace.co.ke/ads/3_prolific_available_at_18k_only_dm_now1753193427, 3 prolific available @18k only dm now," 18,000",New,Transcription,New and used,transcription accounts dealer
https://accountsplace.co.ke/ads/brand_new_sweetstudyhomeworkmarket1753193336, Brand-new Sweetstudy/homeworkmarket," 2,500",New,Academic,New,JosMac
https://accountsplace.co.ke/ads/brand_new_studydaddy_linked_with_paypal1753193082, Brand-new Studydaddy linked with Paypal," 4,000",New,Academic,New,JosMac
https://accountsplace.co.ke/ads/studypool_partner_toptutor_level_100business_humanities_health_medical_writing_badges1753193532," Studypool partner toptutor level 100%(Business, humanities, health medical & writing badges)"," 86,000",Toptutor level,Academic,100%,JosMac
https://accountsplace.co.ke/ads/studypool_partner_rising_star_100_3_orders_business_economics_humanities1753193727," Studypool partner rising star 100%, 3 orders (Business, economics & humanities)"," 53,000",Rising star,Academic,100%,JosMac
https://accountsplace.co.ke/ads/used_prolific_march_available_comes_with_proxy1753193500, Used prolific (March) available comes with proxy," 20,000",Used,Transcription,Used,transcription accounts dealer
https://accountsplace.co.ke/ads/essaywriters_academic_junior_level1753192459, Essaywriters academic junior level," 55,000",Junior level,Academic,100%,JosMac
https://accountsplace.co.ke/ads/essaypro_rated_5_100_completed_over_5k_orders1753192577," Essaypro rated 5*, 100% completed over 5k orders"," 450,000",Used,Academic,100%,JosMac
https://accountsplace.co.ke/ads/writerbay_beginner_level_rated_5_after_8_orders_indian_profile1753192669," Writerbay beginner level rated 5 after 8 orders , Indian profile"," 53,000",Beginner level,Academic,5,JosMac
https://accountsplace.co.ke/ads/brand_new_edusson_purely_non_technical_subjects_degree_cert1753192783," Brand-new Edusson purely non-technical subjects, degree Cert"," 87,000",New,Academic,New,JosMac
https://accountsplace.co.ke/ads/edusson_advanced_level_48_40_completed_100_orders1753192928," Edusson advanced level 4.8, 40% completed 100 orders"," 65,000",Advanced level,Academic,4.8,JosMac
https://accountsplace.co.ke/ads/qualitywriters_expert_level_four_takes1753193789, Qualitywriters expert level four takes," 38,000",Expert level,Academic,100%,JosMac
https://accountsplace.co.ke/ads/brand_new_vipwriters_male_profile_pays_a_minimum_cpp_of_51753193011," Brand-new vipwriters male profile, pays a minimum CPP of $ 5"," 7,000",New,Academic,New,JosMac
https://accountsplace.co.ke/ads/writedom_probation_plus_level_46_completed_40_orders1753194008, Writedom probation plus level 4.6 completed 40 orders," 40,000",Probation plus,Academic,4.6,JosMac
https://accountsplace.co.ke/ads/61753168823, 𝐓𝐒𝐌 𝐔𝐧𝐫𝐚𝐧𝐤𝐞𝐝 𝐎𝐍 𝐐𝐮𝐢𝐜𝐤 𝐒𝐚𝐥𝐞. 𝐀𝐜𝐭𝐢𝐯𝐞 𝐃𝐨𝐧𝐞 6𝟎+ 𝐎𝐫𝐝𝐞𝐫𝐬. 𝐏𝐚𝐲𝐨𝐨𝐧𝐞𝐫 𝐚𝐧𝐝 𝐒𝐢𝐦𝐜𝐚𝐫𝐝 𝐀𝐯𝐚𝐢𝐥𝐚𝐛𝐥𝐞.," 78,500",TSM Unranked,Academic,5/5*,Samm
https://accountsplace.co.ke/ads/edusson_expert_on_quick_sale_done_250_orders_3_orders_in_progress_old_account1753168759, Edusson Expert On Quick Sale. Done 250+ Orders. 3 Orders in Progress. Old Account.," 165,000",Expert Level,Academic,5/5*,Samm
https://accountsplace.co.ke/ads/essaypro_on_quick_sale_done_5000_orders_rated_55_100_bid_limit_120_super_clean1753168890, Essaypro ON Quick Sale. Done 5000+ Orders. Rated 5/5* 100%. Bid Limit 120. Super clean," 455,000",Active,Academic,5/5* 100%.,Samm
https://accountsplace.co.ke/ads/4writers_university_level_3_takes_super_active_rated_97_3_orders_in_progress1753168607, 4writers University level 3 Takes. Super active. Rated 97%. 3 Orders in progress," 127,500",3 Takes University Level,Academic,97%,Samm
https://accountsplace.co.ke/ads/academia_research_advance_level_3_clean_subjects_done_470_orders_rated_91101753169021, Academia Research ADVANCE Level. 3 Clean Subjects. Done 470+ Orders. Rated 9.1/10," 105,000",Advance Level,Academic,9.1/10,Samm
https://accountsplace.co.ke/ads/nanunua_all_levels_academia_research_accounts_ready_cash1753169086, Nanunua All LEVELS Academia Research Accounts. Ready Cash," 97,500",Advance Level,Academic,9/10,Samm
https://accountsplace.co.ke/ads/academia_reserach_senior_advance_done_500_orders_rated_9410_7_subjects1753169179, Academia reserach Senior Advance. Done 500+ Orders. Rated 9.4/10. 7+ Subjects," 117,500",115000,Academic,9.4/10,Samm
https://accountsplace.co.ke/ads/studybay_sage_done_700_orders_rated_55_on_distress_sale1753170381, Studybay SAGE. Done 700+ Orders. Rated 5/5 On Distress Sale," 11,500",Sage Level,Academic,5/5*,Samm
https://accountsplace.co.ke/ads/writerslab_junior_promoted_this_month_done_103_orders_95_om_distress_sale1753169444, WRITERSLAB JUNIOR PROMOTED THIS MONTH DONE 103 ORDERS 95% OM DISTRESS SALE," 95,000",Junior level,Academic,95%,Evans kombo
https://accountsplace.co.ke/ads/level_4_textbroker_rated_4_stars1753170112, Level 4 Textbroker Rated 4 Stars," 26,000",4,Article,4,Joseph Mwaniki Munuhe
https://accountsplace.co.ke/ads/uvocorp_college_level_b_rated_50_super_clean_and_active1753170692, Uvocorp College Level B. Rated 50%. Super clean and active," 87,500",College B,Academic,50%,Samm
